chapter,bing,n,total,weight,percent
58,negative,36,1013,0.42939160188329295,0.035538005923000986
58,positive,35,1013,0.42939160188329295,0.034550839091806514
59,negative,26,936,0.4231532406678507,0.027777777777777776
59,positive,28,936,0.4231532406678507,0.029914529914529916
6,negative,21,834,0.4143669526480707,0.025179856115107913
6,positive,32,834,0.4143669526480707,0.03836930455635491
60,negative,41,1491,0.4627469551548218,0.02749832327297116
60,positive,38,1491,0.4627469551548218,0.025486250838363516
61,negative,70,1986,0.4910369368791501,0.035246727089627394
61,positive,59,1986,0.4910369368791501,0.029707955689828803
62,negative,22,575,0.38837695354849106,0.03826086956521739
62,positive,18,575,0.38837695354849106,0.03130434782608696
63,negative,17,478,0.3766396030598588,0.03556485355648536
63,positive,19,478,0.3766396030598588,0.0397489539748954
64,negative,82,3023,0.5393604278709412,0.027125372146873966
64,positive,79,3023,0.5393604278709412,0.026132980482963943
65,negative,26,1002,0.42851911280515226,0.02594810379241517
65,positive,39,1002,0.42851911280515226,0.038922155688622756
66,negative,27,636,0.39509625426303524,0.04245283018867924
66,positive,16,636,0.39509625426303524,0.025157232704402517
67,negative,14,745,0.4061194654209541,0.01879194630872483
67,positive,28,745,0.4061194654209541,0.03758389261744966
68,negative,22,1208,0.4439671332807686,0.018211920529801324
68,positive,51,1208,0.4439671332807686,0.042218543046357616
69,negative,23,440,0.37160447662235463,0.05227272727272727
69,positive,10,440,0.37160447662235463,0.022727272727272728
7,negative,49,951,0.42439320418046417,0.05152471083070452
7,positive,21,951,0.42439320418046417,0.022082018927444796
70,negative,28,884,0.41875456735910227,0.03167420814479638
70,positive,30,884,0.41875456735910227,0.033936651583710405
71,negative,113,2282,0.5060292679239681,0.04951796669588081
71,positive,45,2282,0.5060292679239681,0.01971954425942156
72,negative,75,1665,0.4732447121794855,0.04504504504504504
72,positive,51,1665,0.4732447121794855,0.03063063063063063
73,negative,76,2181,0.5010446143023676,0.03484640073360844
73,positive,52,2181,0.5010446143023676,0.02384227418615314
74,negative,50,1650,0.4723661156083383,0.030303030303030304
74,positive,48,1650,0.4723661156083383,0.02909090909090909
75,negative,27,1239,0.44614681904762765,0.021791767554479417
